,state_num,ev,pct_car_buyers,car_buyers,pct_boomers,boomers,Under 5,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,+85 years,median_hh_inc,inc_norm,boomer_saturation,ev_per_c,ev_per_1k_b,ev_saturation,zip,kids,20s,30s,40s,50s,60s,70s,80s
0,7.0,2.0,86.0,14506.0,30.5,5146.0,2.6,2.8,3.4,4.3,4.6,4.9,6.5,7.2,6.9,6.9,8.2,7.5,8.2,7.2,6.6,4.8,3.7,3.7,38798.0,-0.902471142137306,0.35474975872052944,0.00013787398317937404,0.3885758694385079,0.0,907,0.14,0.095,0.13699999999999998,0.138,0.157,0.154,0.11399999999999999,0.07400000000000001
1,1.0,1.0,74.3,28392.0,21.8,8344.0,5.6,6.2,6.6,6.1,5.8,7.1,7.4,6.3,5.7,5.7,6.3,6.7,6.4,5.2,4.4,3.0,2.1,3.2,42537.0,-0.7656606245186658,0.2938856015779093,3.522118906734291e-05,0.11983223487118036,0.0,1040,0.257,0.12899999999999998,0.13699999999999998,0.114,0.13,0.11600000000000002,0.07400000000000001,0.053000000000000005
2,6.0,1.0,77.1,1298.0,26.1,440.0,4.8,5.0,7.2,5.5,4.2,4.3,6.5,6.2,5.8,6.2,6.5,8.3,8.7,8.0,5.8,3.0,2.1,2.0,74375.0,0.39929611791039765,0.3389830508474576,0.0007704160246533128,2.2675736961451247,0.0,1081,0.22900000000000006,0.085,0.127,0.12,0.14800000000000002,0.16699999999999998,0.08800000000000001,0.040999999999999995
3,6.0,1.0,75.6,11108.0,27.6,4050.0,4.3,5.8,6.6,6.7,5.1,4.0,4.5,5.6,5.3,5.9,7.3,8.1,8.1,6.6,5.8,4.1,2.7,3.6,111487.0,1.7572292363546278,0.36460208858480375,9.002520705797624e-05,0.24685262898049865,0.0,1095,0.24400000000000005,0.091,0.10099999999999999,0.11199999999999999,0.154,0.147,0.09899999999999999,0.063
4,5.0,1.0,90.6,145.0,41.9,67.0,5.0,1.9,1.3,1.3,1.9,6.9,5.0,3.1,6.3,3.8,7.5,13.1,6.9,13.8,9.4,6.3,5.6,1.3,74375.0,0.39929611791039765,0.46206896551724136,0.006896551724137931,14.705882352941176,0.0,1258,0.09400000000000006,0.08800000000000001,0.081,0.10099999999999999,0.20600000000000002,0.20700000000000002,0.157,0.06899999999999999
5,6.0,1.0,69.5,5473.0,26.6,2098.0,2.9,3.4,4.6,12.9,18.3,3.0,3.4,3.8,4.0,4.6,4.9,5.3,5.6,6.7,5.6,4.3,2.9,3.8,91917.0,1.0411602794686183,0.3833363785857848,0.0001827151470856934,0.4764173415912339,0.0,1267,0.305,0.213,0.072,0.086,0.102,0.12300000000000001,0.09899999999999999,0.06699999999999999
6,2.0,1.0,74.3,1143.0,21.4,329.0,3.8,5.2,7.1,8.5,8.6,5.4,5.5,5.7,6.2,5.5,7.2,6.4,7.9,6.0,4.1,3.4,1.8,1.6,103000.0,1.446688754132269,0.2878390201224847,0.0008748906386701663,3.0303030303030303,0.0,1342,0.257,0.14,0.11199999999999999,0.11699999999999999,0.136,0.139,0.075,0.034
7,6.0,1.0,83.0,3264.0,35.3,1388.0,2.7,5.0,4.5,4.2,3.7,3.6,4.8,6.4,5.3,6.5,6.0,7.9,9.9,10.6,8.5,4.9,2.7,2.6,61711.0,-0.0640813613948872,0.4252450980392157,0.00030637254901960784,0.7199424046076314,0.0,1370,0.17,0.07300000000000001,0.11199999999999999,0.11800000000000001,0.139,0.205,0.134,0.053000000000000005
8,5.0,1.0,77.1,12896.0,24.9,4172.0,4.5,5.8,6.2,5.5,4.6,5.3,6.1,6.1,6.6,6.6,7.4,7.5,7.0,6.1,5.1,3.6,2.7,3.2,83265.0,0.7245824248453299,0.3235111662531017,7.754342431761787e-05,0.23963575365444525,0.0,1501,0.22900000000000006,0.09899999999999999,0.122,0.132,0.149,0.131,0.087,0.059000000000000004
9,1.0,1.0,72.4,15623.0,18.3,3957.0,5.4,6.9,7.6,6.8,4.9,5.8,6.4,7.6,7.0,7.1,7.1,6.8,5.6,4.5,3.5,2.6,1.9,2.6,119148.0,2.0375462664365758,0.2532804198937464,6.400819304871024e-05,0.25265285497726125,0.0,1581,0.27599999999999997,0.107,0.14,0.141,0.13899999999999998,0.10099999999999999,0.061,0.045
10,5.0,1.0,76.2,31474.0,17.6,7282.0,5.8,5.6,5.5,5.5,7.0,9.3,9.2,7.3,6.2,5.8,6.1,6.3,6.5,4.7,3.5,2.3,1.7,1.6,59123.0,-0.15877663275007334,0.2313655715828938,3.177225646565419e-05,0.13730605519703418,0.0,1604,0.23799999999999996,0.163,0.165,0.12,0.12399999999999999,0.11199999999999999,0.057999999999999996,0.033
11,6.0,1.0,73.3,28982.0,15.3,6038.0,5.7,6.0,6.0,6.9,9.6,8.1,8.5,7.9,6.5,5.7,5.9,5.9,5.2,3.9,2.9,2.0,1.5,1.8,67048.0,0.1312001931733618,0.20833620868125044,3.450417500517563e-05,0.16559032952475575,0.0,1702,0.267,0.177,0.16399999999999998,0.122,0.11800000000000001,0.091,0.049,0.033
12,0.0,1.0,58.3,907.0,2.3,36.0,10.9,13.8,9.4,6.8,5.5,8.2,12.4,12.1,6.6,6.5,2.7,1.7,2.1,0.3,0.4,0.1,0.1,0.6,105625.0,1.5427378605106938,0.03969128996692393,0.0011025358324145535,27.027027027027028,0.0,1731,0.41700000000000004,0.13699999999999998,0.245,0.131,0.044000000000000004,0.024,0.005,0.006999999999999999
13,6.0,1.0,74.6,13826.0,27.2,5036.0,3.7,6.0,7.5,7.4,4.2,3.1,3.5,4.9,6.2,7.1,7.8,8.3,7.6,6.4,5.2,4.2,3.0,4.1,160448.0,3.548718873457127,0.3642412845363807,7.232749891508752e-05,0.1985308715505261,0.0,1742,0.25400000000000006,0.07300000000000001,0.084,0.133,0.161,0.14,0.094,0.071
14,7.0,1.0,74.6,13826.0,27.2,5036.0,3.7,6.0,7.5,7.4,4.2,3.1,3.5,4.9,6.2,7.1,7.8,8.3,7.6,6.4,5.2,4.2,3.0,4.1,160448.0,3.548718873457127,0.3642412845363807,7.232749891508752e-05,0.1985308715505261,0.0,1742,0.25400000000000006,0.07300000000000001,0.084,0.133,0.161,0.14,0.094,0.071
15,1.0,3.0,75.5,23010.0,20.3,6180.0,5.4,5.7,6.5,5.8,5.7,6.5,7.5,7.0,6.3,6.5,7.0,7.2,6.4,5.4,4.1,2.9,1.9,2.3,86203.0,0.8320842437176393,0.2685788787483703,0.0001303780964797914,0.4853583562530335,0.0,1757,0.245,0.122,0.145,0.128,0.142,0.11800000000000001,0.07,0.041999999999999996
16,5.0,3.0,75.5,23010.0,20.3,6180.0,5.4,5.7,6.5,5.8,5.7,6.5,7.5,7.0,6.3,6.5,7.0,7.2,6.4,5.4,4.1,2.9,1.9,2.3,86203.0,0.8320842437176393,0.2685788787483703,0.0001303780964797914,0.4853583562530335,0.0,1757,0.245,0.122,0.145,0.128,0.142,0.11800000000000001,0.07,0.041999999999999996
17,7.0,1.0,72.4,25796.0,20.7,7375.0,4.5,6.3,7.7,7.8,6.0,4.0,4.5,5.5,6.4,7.6,7.7,8.2,6.9,5.2,4.4,3.2,2.0,2.1,153315.0,3.287721435058154,0.2858970383005117,3.876570010854396e-05,0.13557483731019523,0.0,1810,0.27599999999999997,0.1,0.1,0.14,0.15899999999999997,0.12100000000000001,0.07600000000000001,0.040999999999999995
18,7.0,1.0,73.8,18944.0,17.8,4554.0,5.7,5.9,7.1,6.3,6.3,7.0,7.9,6.6,6.3,6.0,7.1,7.3,6.6,5.3,3.5,2.3,1.5,1.4,67016.0,0.1300293088289391,0.24039273648648649,5.2787162162162165e-05,0.21953896816684962,0.0,1832,0.262,0.133,0.145,0.12300000000000001,0.144,0.11899999999999998,0.057999999999999996,0.028999999999999998
19,6.0,1.0,70.3,11723.0,13.7,2288.0,6.9,6.9,8.0,6.6,6.9,8.1,8.1,7.2,6.6,5.3,6.5,6.6,5.6,4.1,2.8,1.6,1.0,1.1,55837.0,-0.27901181886797966,0.19517188432994967,8.530239699735562e-05,0.436871996505024,0.0,1850,0.29700000000000004,0.15,0.153,0.11899999999999998,0.131,0.09699999999999999,0.044000000000000004,0.021
20,6.0,1.0,75.0,15347.0,28.0,5720.0,4.0,5.8,7.1,7.1,4.7,2.7,3.2,4.5,6.0,6.7,8.2,8.8,7.8,7.1,6.7,4.6,2.7,2.5,131293.0,2.481933465280755,0.3727112790773441,6.515931452401121e-05,0.17479461632581716,0.0,1945,0.25,0.07400000000000001,0.077,0.127,0.17,0.149,0.113,0.052000000000000005
21,6.0,3.0,78.3,24761.0,23.3,7379.0,5.7,5.2,5.1,4.8,4.9,7.1,8.3,7.5,5.7,5.4,6.5,7.5,7.1,5.6,4.5,3.2,2.7,3.2,90341.0,0.9834942255058002,0.2980089657122087,0.00012115827309074755,0.4065040650406504,0.0,2062,0.21700000000000003,0.12,0.158,0.11100000000000002,0.14,0.127,0.077,0.059000000000000004
22,6.0,1.0,70.8,13136.0,21.7,4031.0,4.8,7.3,8.5,7.6,4.5,2.8,3.6,5.9,7.4,8.1,7.5,7.3,6.9,6.4,4.6,2.9,1.7,2.1,144280.0,2.9571295584375563,0.3068666260657735,7.61266747868453e-05,0.248015873015873,0.0,2067,0.29200000000000004,0.073,0.095,0.155,0.14800000000000002,0.133,0.075,0.038
23,5.0,1.0,82.0,3469.0,20.8,879.0,2.8,2.0,2.5,9.6,6.1,12.2,11.3,6.9,4.8,4.4,5.9,7.4,7.0,6.2,3.9,3.4,2.0,1.6,152442.0,3.255778246536872,0.25338714326895356,0.0002882675122513693,1.1363636363636362,0.0,2108,0.18,0.18299999999999997,0.18200000000000002,0.092,0.133,0.132,0.073,0.036000000000000004
24,0.0,1.0,82.1,19221.0,21.7,5077.0,2.8,1.8,1.4,7.6,12.1,13.9,11.5,6.8,4.2,3.4,4.4,6.0,5.8,5.1,5.2,3.5,2.3,2.1,115825.0,1.9159572452954305,0.2641381821965558,5.202642942614848e-05,0.19692792437967704,0.0,2116,0.17900000000000005,0.26,0.183,0.076,0.10400000000000001,0.10899999999999999,0.087,0.044000000000000004
25,6.0,2.0,82.1,19221.0,21.7,5077.0,2.8,1.8,1.4,7.6,12.1,13.9,11.5,6.8,4.2,3.4,4.4,6.0,5.8,5.1,5.2,3.5,2.3,2.1,115825.0,1.9159572452954305,0.2641381821965558,0.00010405285885229697,0.3938558487593541,0.0,2116,0.17900000000000005,0.26,0.183,0.076,0.10400000000000001,0.10899999999999999,0.087,0.044000000000000004
26,6.0,1.0,88.1,19125.0,6.8,1478.0,3.0,2.1,1.7,2.6,26.9,27.5,12.8,5.3,3.1,2.4,2.4,2.3,2.4,1.8,1.4,0.9,0.7,0.7,66095.0,0.09632979379102316,0.07728104575163398,5.22875816993464e-05,0.676132521974307,0.0,2134,0.11900000000000005,0.544,0.18100000000000002,0.055,0.04699999999999999,0.042,0.023,0.013999999999999999
27,5.0,1.0,88.4,41765.0,14.2,6686.0,3.2,2.5,2.0,2.5,16.8,25.4,13.1,6.1,3.6,3.0,3.2,3.2,2.9,3.1,2.9,2.0,2.1,2.3,83383.0,0.7289000608653886,0.16008619657608045,2.3943493355680593e-05,0.14954389113204725,0.0,2135,0.11599999999999994,0.42200000000000004,0.192,0.066,0.064,0.06,0.049,0.044000000000000004
28,5.0,1.0,86.3,13053.0,12.0,1820.0,4.1,3.0,2.2,3.1,13.2,20.3,15.4,8.2,5.1,3.9,3.6,4.1,3.8,3.1,3.0,1.8,1.0,1.1,87739.0,0.8882866922499291,0.13943154830307208,7.661074082586379e-05,0.5491488193300385,0.0,2141,0.13700000000000004,0.335,0.23600000000000002,0.09,0.077,0.069,0.048,0.021
