,bd,hour,time,end_use,category,energy
0,False,1,00:00:00,ceiling_fan,HVAC,0.06077849419879403
1,False,1,00:00:00,clothes_dryer,Laundry,0.33353506452345394
2,False,1,00:00:00,clothes_washer,Laundry,0.009334863550930397
3,False,1,00:00:00,cooling,HVAC,1.5595614863321516
4,False,1,00:00:00,cooling_fans_pumps,HVAC,0.24663371164181114
5,False,1,00:00:00,dishwasher,Kitchen,0.024106545438813246
6,False,1,00:00:00,freezer,Kitchen,0.20909761460600573
7,False,1,00:00:00,heating,HVAC,1.8723390709789522
8,False,1,00:00:00,heating_fans_pumps,HVAC,1.191743843031372
9,False,1,00:00:00,heating_hp_bkup,HVAC,0.09196565457264723
10,False,1,00:00:00,hot_tub_heater,Hot Tub,0.08492240423066992
11,False,1,00:00:00,hot_tub_pump,Hot Tub,0.08392244719740577
19,False,1,00:00:00,pool_pump,Pool,0.04460104928334629
20,False,1,00:00:00,range_oven,Kitchen,0.056921937921922405
21,False,1,00:00:00,refrigerator,Kitchen,1.4233361701444394
22,False,1,00:00:00,well_pump,Kitchen,0.1264678546702998
23,False,1,00:15:00,ceiling_fan,HVAC,0.05594702154892367
24,False,1,00:15:00,clothes_dryer,Laundry,0.27368641350918105
25,False,1,00:15:00,clothes_washer,Laundry,0.007135016996949873
26,False,1,00:15:00,cooling,HVAC,1.538233668593454
27,False,1,00:15:00,cooling_fans_pumps,HVAC,0.24301626912080698
28,False,1,00:15:00,dishwasher,Kitchen,0.01870827007893594
29,False,1,00:15:00,freezer,Kitchen,0.19966636906272056
30,False,1,00:15:00,heating,HVAC,1.8255739194566707
31,False,1,00:15:00,heating_fans_pumps,HVAC,1.1592835860300266
32,False,1,00:15:00,heating_hp_bkup,HVAC,0.09285695478009318
33,False,1,00:15:00,hot_tub_heater,Hot Tub,0.09725635329205114
34,False,1,00:15:00,hot_tub_pump,Hot Tub,0.09622620016846695
35,False,1,00:15:00,hot_water,HVAC,0.8250666790573471
36,False,1,00:15:00,lighting_exterior,Lighting,0.16039863672056318
37,False,1,00:15:00,lighting_garage,Lighting,0.03411824330691672
38,False,1,00:15:00,lighting_interior,Lighting,0.56039946948175
39,False,1,00:15:00,mech_vent,HVAC,0.04104669940634414
40,False,1,00:15:00,plug_loads,Plugs,4.84115606959232
41,False,1,00:15:00,pool_heater,Pool,0.002316899365887712
42,False,1,00:15:00,pool_pump,Pool,0.044670917635420075
43,False,1,00:15:00,range_oven,Kitchen,0.048343204112338764
44,False,1,00:15:00,refrigerator,Kitchen,1.4017898112707587
45,False,1,00:15:00,well_pump,Kitchen,0.07507376525029456
46,False,1,00:30:00,ceiling_fan,HVAC,0.055513474430995614
47,False,1,00:30:00,clothes_dryer,Laundry,0.22521447094347793
48,False,1,00:30:00,clothes_washer,Laundry,0.006054537056165669
49,False,1,00:30:00,cooling,HVAC,1.4758055349758437
50,False,1,00:30:00,cooling_fans_pumps,HVAC,0.23054155226926723
51,False,1,00:30:00,dishwasher,Kitchen,0.014921925849475128
52,False,1,00:30:00,freezer,Kitchen,0.19966636906272056
53,False,1,00:30:00,heating,HVAC,1.860738960561348
54,False,1,00:30:00,heating_fans_pumps,HVAC,1.1856781113270876
55,False,1,00:30:00,heating_hp_bkup,HVAC,0.09416530472929234
56,False,1,00:30:00,hot_tub_heater,Hot Tub,0.09725635329205114
57,False,1,00:30:00,hot_tub_pump,Hot Tub,0.09622620016846695
58,False,1,00:30:00,hot_water,HVAC,0.7242882341506358
59,False,1,00:30:00,lighting_exterior,Lighting,0.16039863672056318
60,False,1,00:30:00,lighting_garage,Lighting,0.03411824330691672
61,False,1,00:30:00,lighting_interior,Lighting,0.5560388103442025
62,False,1,00:30:00,mech_vent,HVAC,0.04104669940634414
63,False,1,00:30:00,plug_loads,Plugs,4.835229878194848
64,False,1,00:30:00,pool_heater,Pool,0.002316899365887712
65,False,1,00:30:00,pool_pump,Pool,0.044670917635420075
66,False,1,00:30:00,range_oven,Kitchen,0.04427203464719272
67,False,1,00:30:00,refrigerator,Kitchen,1.4017898112707587
68,False,1,00:30:00,well_pump,Kitchen,0.07507376525029456
69,False,1,00:45:00,ceiling_fan,HVAC,0.05479014304466313
70,False,1,00:45:00,clothes_dryer,Laundry,0.18989010250044544
71,False,1,00:45:00,clothes_washer,Laundry,0.004734354167507772
72,False,1,00:45:00,cooling,HVAC,1.4347010456535538
73,False,1,00:45:00,cooling_fans_pumps,HVAC,0.22249431874864975
74,False,1,00:45:00,dishwasher,Kitchen,0.012687366066460046
75,False,1,00:45:00,freezer,Kitchen,0.19966636906272056
76,False,1,00:45:00,heating,HVAC,1.8747739560440901
77,False,1,00:45:00,heating_fans_pumps,HVAC,1.1934292267652338
78,False,1,00:45:00,heating_hp_bkup,HVAC,0.09579088547452015
79,False,1,00:45:00,hot_tub_heater,Hot Tub,0.09725635329205114
80,False,1,00:45:00,hot_tub_pump,Hot Tub,0.09622620016846695
81,False,1,00:45:00,hot_water,HVAC,0.6481656089305587
82,False,1,00:45:00,lighting_exterior,Lighting,0.16039863672056318
83,False,1,00:45:00,lighting_garage,Lighting,0.03411824330691672
84,False,1,00:45:00,lighting_interior,Lighting,0.548468478653306
85,False,1,00:45:00,mech_vent,HVAC,0.04104669940634414
86,False,1,00:45:00,plug_loads,Plugs,4.8235939252635305
87,False,1,00:45:00,pool_heater,Pool,0.002316899365887712
88,False,1,00:45:00,pool_pump,Pool,0.044670917635420075
89,False,1,00:45:00,range_oven,Kitchen,0.04044582175864271
90,False,1,00:45:00,refrigerator,Kitchen,1.4017898112707587
91,False,1,00:45:00,well_pump,Kitchen,0.07507376525029456
