State,County,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
MT,Flathead County,11/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,5/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,2/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,8/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,4/1/21,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,4/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,12/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,3/1/19,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,8/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,10/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,11/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,3/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,10/1/21,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,11/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,10/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,8/1/21,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,1/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,2/1/22,TESLA,MODEL S,2015,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,5/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,9/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,11/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,3/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,2/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,4/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,12/1/21,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,11/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,3/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,6/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,4/1/21,TESLA,MODEL S,2020,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,7/1/22,TESLA,MODEL S,2020,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,2/1/22,TESLA,MODEL S,2020,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,12/1/22,TESLA,MODEL S,2020,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,7/1/21,TESLA,MODEL S,2020,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,5/1/22,TESLA,MODEL S,2020,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,7/1/22,TESLA,MODEL S,2020,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,2/1/22,TESLA,MODEL S,2020,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,1/1/23,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,9/1/21,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,6/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,11/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,12/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,3/1/22,TESLA,MODEL S,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,3/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,1/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,7/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,12/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,8/1/22,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,12/1/21,TESLA,MODEL S,2022,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,8/1/21,TESLA,MODEL S,2012,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,7/1/22,TESLA,MODEL S,2016,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,11/1/22,TESLA,MODEL S,2016,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,8/1/22,TESLA,MODEL S,2016,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,10/1/21,TESLA,MODEL S,2016,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,12/1/22,TESLA,MODEL S,2016,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,5/1/22,TESLA,MODEL S,2016,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,6/1/21,TESLA,MODEL S,2014,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,1/1/22,TESLA,MODEL S,2014,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,11/1/22,TESLA,MODEL S,2014,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
MT,Flathead County,7/1/22,TESLA,MODEL S,2019,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (12/19/2022),TRUE
