State,ZIP Code,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
NC,27703,1/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28712,6/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27107,9/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27302,1/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28584,11/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28152,11/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27587,11/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28479,12/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28110,2/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27539,5/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27302,11/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28306,10/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28216,12/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27526,3/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27612,12/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28110,10/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28075,7/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28036,12/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27540,9/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28210,7/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27410,5/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27545,6/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28411,8/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27526,12/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28411,3/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27713,6/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27513,10/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28115,10/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28078,11/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28203,6/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27587,4/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28117,8/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28025,11/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28409,8/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28411,5/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28405,10/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28401,8/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28270,7/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28586,7/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28451,7/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28115,3/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28031,10/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27909,12/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27713,9/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,28734,11/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27104,3/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
NC,27517,7/1/22,TESLA,MODEL 3,2020,BEV,1,Light-Duty (Class 1-2A),1,2,DMV Snapshot (2/3/2023),TRUE
