State,ZIP Code,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
VT,5495,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5602,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5302,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5065,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5855,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5461,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5661,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5403,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5464,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5674,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5753,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5350,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5489,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5733,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5201,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5855,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5353,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5766,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5491,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5001,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5055,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5091,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5641,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5477,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5658,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5445,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5251,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
VT,5462,6/1/23,CHEVROLET,VOLT,2017,PHEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),TRUE
