,time,hour,end_use,energy
0,0.25,1,base,70.33656908359285
1,0.5,1,base,67.80525793050718
2,0.75,1,base,66.83596429105363
3,1.0,1,base,65.93279960884888
4,1.25,2,base,65.22789815166976
5,1.5,2,base,64.00024386529665
6,1.75,2,base,63.326784418162774
7,2.0,2,base,62.90126159529857
8,2.25,3,base,62.50952845338221
9,2.5,3,base,62.41878622302004
10,2.75,3,base,61.95742105541204
11,3.0,3,base,61.865976595129666
12,3.25,4,base,61.80956703480068
13,3.5,4,base,62.43126519953767
14,3.75,4,base,62.325990946913144
15,4.0,4,base,62.54723523596517
16,4.25,5,base,62.80355548104626
17,4.5,5,base,64.60634635213417
18,4.75,5,base,65.02062914982857
19,5.0,5,base,65.92650199810677
20,5.25,6,base,66.918364525972
21,5.5,6,base,71.95384554529451
22,5.75,6,base,73.1509574138913
23,6.0,6,base,75.37591351498263
24,6.25,7,base,76.80704765200807
25,6.5,7,base,83.58095625460135
26,6.75,7,base,84.52783542032921
27,7.0,7,base,86.39590614490638
28,7.25,8,base,87.01619113504363
29,7.5,8,base,92.40508797027165
30,7.75,8,base,92.58155150885409
31,8.0,8,base,93.43512088400462
32,8.25,9,base,93.48669045418568
33,8.5,9,base,96.89946503279239
34,8.75,9,base,96.88760624876285
35,9.0,9,base,97.39875412522322
36,9.25,10,base,97.55876849312816
37,9.5,10,base,99.18530999575341
38,9.75,10,base,99.31590013978234
39,10.0,10,base,99.6352166241822
40,10.25,11,base,99.86654435204284
41,10.5,11,base,100.43119554630485
42,10.75,11,base,100.63393967947863
43,11.0,11,base,100.87875458143863
44,11.25,12,base,101.14444152094099
45,11.5,12,base,102.12579922077089
46,11.75,12,base,102.30376520970268
47,12.0,12,base,102.39607465234214
48,12.25,13,base,102.47564842457756
49,12.5,13,base,102.11738511143176
50,12.75,13,base,102.07789652613017
51,13.0,13,base,102.00817368508805
52,13.25,14,base,102.02016161711953
53,13.5,14,base,101.04701335654943
54,13.75,14,base,101.14024909857295
55,14.0,14,base,101.28793866539463
56,14.25,15,base,101.65065139113688
57,14.5,15,base,102.55880424515622
58,14.75,15,base,103.2230051846121
59,15.0,15,base,103.9092933873949
60,15.25,16,base,104.7298286947306
61,15.5,16,base,108.23283789443354
62,15.75,16,base,109.42001900007054
63,16.0,16,base,110.41044350447521
64,16.25,17,base,111.4662576332297
65,16.5,17,base,116.40105781390186
66,16.75,17,base,117.58782532475665
67,17.0,17,base,118.49280533677485
68,17.25,18,base,119.21186729276918
69,17.5,18,base,123.01744224085526
70,17.75,18,base,123.28898090217673
71,18.0,18,base,123.34239617182494
72,18.25,19,base,123.19245679418201
73,18.5,19,base,125.30513914273843
74,18.75,19,base,124.81385859295598
75,19.0,19,base,124.26501049944588
76,19.25,20,base,123.76273857712125
77,19.5,20,base,123.84711834569046
78,19.75,20,base,123.21007755826453
79,20.0,20,base,122.37394154780382
80,20.25,21,base,121.79861649047754
81,20.5,21,base,118.47989229246397
82,20.75,21,base,117.7268105444572
83,21.0,21,base,115.94143824622145
84,21.25,22,base,114.8487266042303
85,21.5,22,base,102.9030985800413
86,21.75,22,base,101.36203026421177
87,22.0,22,base,98.46876869433572
88,22.25,23,base,96.64438602320689
89,22.5,23,base,86.5203553031687
90,22.75,23,base,84.68810990452346
91,23.0,23,base,82.20403686665236
92,23.25,24,base,80.47593274412495
93,23.5,24,base,74.50714909196806
94,23.75,24,base,73.12176304368505
95,24.0,24,base,71.53397522816793
96,0.25,1,solar,0.0
97,0.5,1,solar,0.0
98,0.75,1,solar,0.0
99,1.0,1,solar,0.0
100,1.25,2,solar,0.0
101,1.5,2,solar,0.0
102,1.75,2,solar,0.0
103,2.0,2,solar,0.0
104,2.25,3,solar,0.0
105,2.5,3,solar,0.0
106,2.75,3,solar,0.0
107,3.0,3,solar,0.0
108,3.25,4,solar,0.0
109,3.5,4,solar,0.0
110,3.75,4,solar,0.0
111,4.0,4,solar,0.0
112,4.25,5,solar,0.0
113,4.5,5,solar,0.0
114,4.75,5,solar,-0.042884301808240155
115,5.0,5,solar,-1.1321041747543616
116,5.25,6,solar,-3.5824283162518817
117,5.5,6,solar,-6.559650610312877
118,5.75,6,solar,-9.645839436167247
119,6.0,6,solar,-15.33703604144225
120,6.25,7,solar,-22.70809417593615
121,6.5,7,solar,-31.88081370805639
122,6.75,7,solar,-42.477946307072024
123,7.0,7,solar,-54.84874362135531
124,7.25,8,solar,-69.14221955659875
125,7.5,8,solar,-85.4291454580953
126,7.75,8,solar,-103.35588132268985
127,8.0,8,solar,-124.3508608818241
128,8.25,9,solar,-146.56642048672646
129,8.5,9,solar,-169.250597220938
130,8.75,9,solar,-192.45044889055544
