Timestamp (EST),baseline.out.electricity.bath_fan.energy_consumption.kwh,baseline.out.electricity.ceiling_fan.energy_consumption.kwh,baseline.out.electricity.clothes_dryer.energy_consumption.kwh,baseline.out.electricity.clothes_washer.energy_consumption.kwh,baseline.out.electricity.cooking_range.energy_consumption.kwh,baseline.out.electricity.cooling.energy_consumption.kwh,baseline.out.electricity.dishwasher.energy_consumption.kwh,baseline.out.electricity.ext_holiday-light.energy_consumption.kwh,baseline.out.electricity.exterior_lighting.energy_consumption.kwh,baseline.out.electricity.extra_refrigerator.energy_consumption.kwh,baseline.out.electricity.fans_cooling.energy_consumption.kwh,baseline.out.electricity.fans_heating.energy_consumption.kwh,baseline.out.electricity.freezer.energy_consumption.kwh,baseline.out.electricity.garage_lighting.energy_consumption.kwh,baseline.out.electricity.heating.energy_consumption.kwh,baseline.out.electricity.heating_supplement.energy_consumption.kwh,baseline.out.electricity.hot_tub-heater.energy_consumption.kwh,baseline.out.electricity.hot_tub-pump.energy_consumption.kwh,baseline.out.electricity.house_fan.energy_consumption.kwh,baseline.out.electricity.interior_lighting.energy_consumption.kwh,baseline.out.electricity.plug_loads.energy_consumption.kwh,baseline.out.electricity.pool_heater.energy_consumption.kwh,baseline.out.electricity.pool_pump.energy_consumption.kwh,baseline.out.electricity.pumps_cooling.energy_consumption.kwh,baseline.out.electricity.pumps_heating.energy_consumption.kwh,baseline.out.electricity.pv.energy_consumption.kwh,baseline.out.electricity.range_fan.energy_consumption.kwh,baseline.out.electricity.recirc_pump.energy_consumption.kwh,baseline.out.electricity.refrigerator.energy_consumption.kwh,baseline.out.electricity.vehicle.energy_consumption.kwh,baseline.out.electricity.water_systems.energy_consumption.kwh,baseline.out.electricity.well_pump.energy_consumption.kwh,baseline.out.fuel-oil.heating.energy_consumption.kwh,baseline.out.fuel-oil.water_systems.energy_consumption.kwh,baseline.out.natural-gas.clothes_dryer.energy_consumption.kwh,baseline.out.natural-gas.cooking_range.energy_consumption.kwh,baseline.out.natural-gas.fireplace.energy_consumption.kwh,baseline.out.natural-gas.grill.energy_consumption.kwh,baseline.out.natural-gas.heating.energy_consumption.kwh,baseline.out.natural-gas.hot_tub-heater.energy_consumption.kwh,baseline.out.natural-gas.lighting.energy_consumption.kwh,baseline.out.natural-gas.pool_heater.energy_consumption.kwh,baseline.out.natural-gas.water_systems.energy_consumption.kwh,baseline.out.propane.clothes_dryer.energy_consumption.kwh,baseline.out.propane.cooking_range.energy_consumption.kwh,baseline.out.propane.heating.energy_consumption.kwh,baseline.out.propane.water_systems.energy_consumption.kwh,baseline.out.wood.heating.energy_consumption.kwh
12:15 AM,1002970.711,2755385.332,7160580.955,245911.302,1698504.612,74816225.28,405619.8979,0,6101024.263,7491275.934,14348948.63,25994994.39,5095997.916,543881.5597,99321084.32,4471663.749,1923771.427,2506822.366,0,19227212.71,145737914.3,10941.16777,994849.6347,318279.0329,451288.3124,0,151277.4199,0,38472882.71,0,33318007.18,2407133.257,471400805,27378846.27,4119515.224,2359560.323,2827772.068,81915.04106,1182495017,1395460.883,306935.595,400230.2486,143247250.3,227587.3686,328705.7791,72651585.01,7504808.576,0
12:30 AM,1035310.632,2739565.808,5999710.182,198102.3807,1488845.737,71661050.63,325232.3774,0,6101024.263,7491275.934,13784723.96,26367158.17,5095997.916,543881.5597,100936316.6,4544499.618,1923771.427,2506822.366,0,19083182.53,145563574.7,10941.16777,994849.6347,315580.8704,458570.6292,0,107783.3909,0,38472882.71,0,29712282.08,2407133.257,478831761.3,25066303.51,3480097.505,2073837.191,2827772.068,81915.04106,1200305909,1395460.883,306935.595,400230.2486,131143544.8,183826.1528,288957.5501,73815500.83,6842876.523,0
12:45 AM,1035310.632,2712496.511,4965366.415,161997.2174,1328176.156,69363923.89,268005.7778,0,6101024.263,7491275.934,13369950.4,26682390.83,5095997.916,543881.5597,102139786.2,4651186.968,1923771.427,2506822.366,0,18833586.77,145233329.3,10941.16777,994849.6347,313763.4668,462535.9483,0,107783.3909,0,38472882.71,0,26072210.69,2407133.257,484089912.6,23178768.55,2901312.375,1848356.523,2827772.068,81915.04106,1212671399,1395460.883,306935.595,400230.2486,120890409.9,149712.8311,258155.5791,74729154.91,6259653.427,0
1:00 AM,1035310.632,2702875.916,4137462.096,133197.8409,1186083.292,66951171.51,234542.1318,0,6101024.263,7491275.934,12941471.92,27045905.21,5095997.916,543881.5597,103606926.8,4784638.34,1923771.427,2506822.366,0,18744688,145121059.5,10941.16777,994849.6347,310837.3385,468603.17,0,107783.3909,0,38472882.71,0,23022711.8,2407133.257,490788141.3,21688096.28,2420000.162,1635496.945,2827772.068,81915.04106,1228521601,1395460.883,306935.595,400230.2486,113547545,117114.2016,233408.5918,75821845.79,5880812.155,0
1:15 AM,1035310.632,2663386.727,3422829.483,105680.5863,1084288.226,65931618.05,209540.5667,0,5906427.893,7300666.766,12822351.61,27014538.89,4966333.874,526534.0828,103522254.3,4822130.989,1796043.741,2340383.352,0,17765740.29,144377705.4,10941.16777,994849.6347,304277.5125,472545.5494,0,107783.3909,0,37493967.58,0,20495233.56,1592469.033,489185511.8,20460030.56,2019934.651,1476973.523,1870747.886,38547.45305,1226459918,1302810.069,203057.0716,400230.2486,107634511.7,95340.8066,215854.3554,74838458.01,5612406.041,0
1:30 AM,1030129.96,2655510.328,2836038.964,87377.28144,996867.832,63427889.34,189446.7325,0,5906427.893,7300666.766,12366341.07,27276484.04,4966333.874,526534.0828,104264947.4,4862832.786,1796043.741,2340383.352,0,17746478.01,144321955.7,10941.16777,994849.6347,304699.501,472765.2612,0,82224.20141,0,37493967.58,0,18299147.95,1592469.033,494167829.1,19347680.33,1668215.479,1350850.385,1870747.886,38547.45305,1237888256,1302810.069,203057.0716,400230.2486,102117966.9,82545.17287,201237.2346,75722939.06,5297935.557,0
1:45 AM,1030129.96,2645534.261,2333705.314,78157.75067,926305.7864,61594234.73,175670.5254,0,5906427.893,7300666.766,12050000.51,27566961.27,4966333.874,526534.0828,105548362.1,4933938.446,1796043.741,2340383.352,0,17718813.44,144238417.7,10941.16777,994849.6347,302904.4847,477966.3105,0,82224.20141,0,37493967.58,0,16398966.33,1592469.033,499964998.8,18634665.1,1370487.437,1266122.097,1870747.886,38547.45305,1250686609,1302810.069,203057.0716,400230.2486,98006911.35,73079.18371,187052.5923,76577198.27,5089676.233,0
2:00 AM,1030129.96,2641595.868,1936151.286,71189.04477,905846.7043,59736394.59,158552.9047,0,5906427.893,7300666.766,11718892.54,27842455.51,4966333.874,526534.0828,106615970.7,5036860.701,1796043.741,2340383.352,0,17708668.06,144207987.2,10941.16777,994849.6347,301064.0017,482557.7294,0,82224.20141,0,37493967.58,0,14754568.26,1592469.033,504973966.3,18086309.65,1117041.892,1235800.469,1870747.886,38547.45305,1262426711,1302810.069,203057.0716,400230.2486,95586499,70178.16081,180907.6024,77407987.76,4922898.765,0
2:15 AM,1030129.96,2630452.501,1623976.916,66648.35884,927497.135,59471198.12,138008.7877,0,5811660.163,7110057.597,11780955.86,28298467.3,4836669.832,518085.9242,108500734.5,5393313.335,1923771.427,2506822.366,0,17541528.25,143905797.2,13193.20175,1199620.755,292519.422,506218.9361,0,82224.20141,0,36515052.45,0,13587834.51,1282197.806,511566081.3,17757421.82,948829.2436,1258979.05,1506257.758,62639.04343,1283860720,1395460.883,163494.1254,482610.1317,93499290.01,63094.92013,183840.3315,77906788.34,4861971.054,0
2:30 AM,1002758.217,2626242.875,1405968.554,61451.25095,1004815.947,57193013.4,121947.0028,0,5811660.163,7110057.597,11328930.72,28552100.83,4836669.832,518085.9242,108744552.6,5413585.509,1923771.427,2506822.366,0,17541528.25,143883301.6,13193.20175,1199620.755,292911.3129,495367.5911,0,127983.0147,0,36515052.45,0,12599499.13,1282197.806,514856248.8,17496886.81,804892.8427,1360495.621,1506257.758,62639.04343,1291526982,1395460.883,163494.1254,482610.1317,91917175.03,50006.35651,198445.7914,78856493.25,4787865.062,0
